Year, NodeId, Gender, MeetsTargetingConfig_1, HasHIV, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Num_TRANSITORY,Num_INFORMAL,Num_MARITAL,Num_COMMERCIAL,Num_Concordant_TRANSITORY,Num_Concordant_INFORMAL,Num_Concordant_MARITAL,Num_Concordant_COMMERCIAL
1990.04,1,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
1990.04,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.04,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.04,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.04,1,1,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
1990.04,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.04,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.08,1,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0
1990.08,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.08,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.08,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.08,1,1,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0
1990.08,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.08,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.08,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.12,1,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0
1990.12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.12,1,1,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0
1990.12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.16,1,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0
1990.16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.16,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.16,1,1,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0
1990.16,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.16,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.21,1,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,28,0
1990.21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.21,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.21,1,1,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,28,0
1990.21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.21,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.25,1,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0
1990.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.25,1,1,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0
1990.25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990.29,1,0,0,0,625,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,21,0
1990.29,1,0,0,1,260,260,259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1990.29,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1990.29,1,0,1,1,9,9,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1990.29,1,1,0,0,562,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,21,0
1990.29,1,1,0,1,257,257,257,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1990.29,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1990.29,1,1,1,1,8,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1990.33,1,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,0
1990.33,1,0,0,1,257,257,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,3,0
1990.33,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1990.33,1,0,1,1,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1990.33,1,1,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,0
1990.33,1,1,0,1,253,253,2,0,4,4,0,0,0,0,0,0,0,3,0,0,0,3,0
1990.33,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1990.33,1,1,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1990.37,1,0,0,0,621,0,0,0,2,0,0,0,0,0,0,0,0,29,0,0,0,29,0
1990.37,1,0,0,1,257,257,4,0,3,3,0,0,0,0,0,0,0,8,0,0,0,8,0
1990.37,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1990.37,1,0,1,1,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1990.37,1,1,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29,0
1990.37,1,1,0,1,252,252,1,0,7,7,0,0,0,0,0,0,0,8,0,0,0,8,0
1990.37,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1990.37,1,1,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1990.41,1,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,28,0
1990.41,1,0,0,1,257,257,2,0,3,3,0,0,0,0,0,0,0,11,0,0,0,11,0
1990.41,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1990.41,1,0,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1990.41,1,1,0,0,558,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,28,0
1990.41,1,1,0,1,247,247,1,0,7,7,0,0,0,0,0,0,0,11,0,0,0,11,0
1990.41,1,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1990.41,1,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1990.45,1,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0
1990.45,1,0,0,1,256,256,1,0,3,3,0,0,0,0,0,0,0,12,0,0,0,12,0
1990.45,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1990.45,1,0,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1990.45,1,1,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0
1990.45,1,1,0,1,245,245,0,0,3,3,0,0,0,0,0,0,0,12,0,0,0,12,0
1990.45,1,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1990.45,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1990.49,1,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,39,0
1990.49,1,0,0,1,251,251,0,0,5,5,0,0,0,0,0,0,0,13,0,0,0,13,0
1990.49,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1990.49,1,0,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1990.49,1,1,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,39,0
1990.49,1,1,0,1,239,239,1,0,4,4,0,0,0,0,0,0,0,13,0,0,0,13,0
1990.49,1,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1990.49,1,1,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1990.53,1,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,0
1990.53,1,0,0,1,245,245,0,0,6,5,0,0,0,0,0,0,0,13,0,0,0,13,0
1990.53,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1990.53,1,0,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1990.53,1,1,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,0
1990.53,1,1,0,1,236,236,0,0,2,2,0,0,0,0,0,0,0,13,0,0,0,13,0
1990.53,1,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1990.53,1,1,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1990.58,1,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,46,0
1990.58,1,0,0,1,242,242,0,0,2,2,0,0,0,0,0,0,0,14,0,0,0,14,0
1990.58,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1990.58,1,0,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1990.58,1,1,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,46,0
1990.58,1,1,0,1,231,231,0,0,3,3,0,0,0,0,0,0,0,14,0,0,0,14,0
1990.58,1,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1990.58,1,1,1,1,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1990.62,1,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0
1990.62,1,0,0,1,237,237,0,0,4,4,0,0,0,0,0,0,0,16,0,0,0,16,0
1990.62,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1990.62,1,0,1,1,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1990.62,1,1,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0
1990.62,1,1,0,1,228,228,0,0,2,2,0,0,0,0,0,0,0,16,0,0,0,16,0
1990.62,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1990.62,1,1,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1990.66,1,0,0,0,613,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,51,0
1990.66,1,0,0,1,232,232,0,0,5,5,0,0,0,0,0,0,0,16,0,0,0,16,0
1990.66,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1990.66,1,0,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1990.66,1,1,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,51,0
1990.66,1,1,0,1,223,223,0,0,4,4,0,0,0,0,0,0,0,16,0,0,0,16,0
1990.66,1,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1990.66,1,1,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1990.7,1,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,53,0
1990.7,1,0,0,1,224,224,0,0,4,4,0,0,0,0,0,0,0,17,0,0,0,17,0
1990.7,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.7,1,0,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.7,1,1,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,53,0
1990.7,1,1,0,1,218,218,0,0,4,4,0,0,0,0,0,0,0,17,0,0,0,17,0
1990.7,1,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.7,1,1,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.74,1,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,56,0
1990.74,1,0,0,1,223,223,0,0,1,1,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.74,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.74,1,0,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.74,1,1,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,56,0
1990.74,1,1,0,1,216,216,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.74,1,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.74,1,1,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.78,1,0,0,0,609,0,0,0,1,0,0,0,0,0,0,0,0,55,0,0,0,55,0
1990.78,1,0,0,1,222,222,0,0,1,1,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.78,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.78,1,0,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.78,1,1,0,0,551,0,0,0,1,0,0,0,0,0,0,0,0,55,0,0,0,55,0
1990.78,1,1,0,1,213,213,0,0,3,3,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.78,1,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1990.78,1,1,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.82,1,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,57,0
1990.82,1,0,0,1,219,219,0,0,2,2,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.82,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.82,1,0,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.82,1,1,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,57,0
1990.82,1,1,0,1,208,208,1,0,4,4,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.82,1,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.82,1,1,1,1,16,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.86,1,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0
1990.86,1,0,0,1,218,218,0,0,1,1,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.86,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.86,1,0,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.86,1,1,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0
1990.86,1,1,0,1,204,204,0,0,4,4,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.86,1,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.86,1,1,1,1,16,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.9,1,0,0,0,606,0,0,0,1,0,0,0,0,0,0,0,0,64,0,0,0,64,0
1990.9,1,0,0,1,217,217,0,0,1,1,0,0,0,0,0,0,0,19,0,0,0,19,0
1990.9,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.9,1,0,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.9,1,1,0,0,547,0,0,0,2,0,0,0,0,0,0,0,0,64,0,0,0,64,0
1990.9,1,1,0,1,204,204,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0
1990.9,1,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.9,1,1,1,1,16,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.95,1,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,65,0
1990.95,1,0,0,1,215,215,0,0,2,2,0,0,0,0,0,0,0,19,0,0,0,19,0
1990.95,1,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
1990.95,1,0,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.95,1,1,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,65,0
1990.95,1,1,0,1,201,201,0,0,2,2,0,0,0,0,0,0,0,19,0,0,0,19,0
1990.95,1,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.95,1,1,1,1,17,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
1990.99,1,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,67,0
1990.99,1,0,0,1,215,215,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0
1990.99,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.99,1,0,1,1,15,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
1990.99,1,1,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,67,0
1990.99,1,1,0,1,202,202,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0
1990.99,1,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
